OU_NAME,TOTAL_AMOUNT_USD,Season Split Year Grouping,Season Split Sort,Fiscal Year
DAKINE EQUIPMENT LLC. (OU),33.95,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),43.65,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),33.95,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),70.33,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),33.95,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),70.33,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),41.23,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),43.65,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),48.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),31.53,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),41.23,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),31.53,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),19.80,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),25.85,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),25.85,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),25.85,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),23.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),63.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),15.04,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),63.66,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),65.66,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),28.48,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),10.12,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),58.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),350.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),122.20,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),210.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),210.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),35.10,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),24.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),40.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),40.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),54.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),57.60,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),57.60,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),57.60,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),90.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),20.70,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),27.90,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),15.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),60.30,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),45.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),37.80,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),37.80,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),49.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),49.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),45.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),49.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),49.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),14.88,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),37.80,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),54.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),51.70,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),49.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),184.92,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),0.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),312.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),11.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),36.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),42.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),36.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),36.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),19.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),88.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),88.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),50.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),45.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),90.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),45.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),90.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),40.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),80.00,2020,001,2021
